Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2023-11-28,3389.0,4168.33,4241.01,3852.75,4226.9457142857145,4248.325666666667,5619.786555555555,-54.340000000000146,59.5011680159702,53.610916264196845,1649.2408755560325
2023-11-27,3344.33,4099.0,4160.61,3804.25,4218.75,4243.806333333333,5560.788777777778,-80.40000000000055,64.66862814915282,55.12996947587499,1604.306792607426
2023-11-24,3323.33,4051.67,4121.69,3770.32,4217.798571428572,4240.151,5504.616,-38.92000000000007,66.24995079982439,59.45049730694545,1564.2657282757136
2023-11-23,3328.0,4051.17,4113.74,4051.17,4208.142857142857,4238.234333333333,5448.757555555556,-7.949999999999818,76.572335891211,62.59263312880493,1522.1472098745114
2023-11-22,3317.67,4050.67,4096.14,3768.65,4188.904285714286,4235.731000000001,5387.647888888889,-17.599999999999454,86.23603072536024,66.72947249161109,1463.030315376682
2023-11-21,3328.0,4097.33,4137.4,3787.59,4166.562857142858,4236.559333333334,5325.648444444444,41.25999999999931,73.91168191725217,65.28629131805658,1394.0950157153802
2023-11-20,3299.33,4018.0,4074.3,3722.69,4134.984285714286,4231.246,5265.7480000000005,-63.099999999999454,54.3499214528669,71.69852240127388,1328.5012350462907
2023-11-17,3373.33,4084.0,4144.01,3802.19,4121.127142857143,4226.650333333333,5206.559222222222,69.71000000000004,29.49393254842639,72.75191157529365,1255.712054747697
2023-11-16,3340.67,4019.0,4086.56,3766.79,4110.548571428571,4220.795999999999,5147.95,-57.45000000000027,26.051233131034323,76.75002314303948,1180.453930101511
2023-11-15,3303.33,3971.67,4041.66,3724.39,4099.115714285715,4212.534000000001,5089.681,-44.90000000000009,36.00586241989031,82.24130066588062,1100.6376220551551
2023-11-14,3400.33,3953.33,4100.94,3776.35,4097.287142857143,4208.181333333333,5041.494555555556,59.279999999999745,35.46027200269142,84.62283378736682,1045.9883353455625
2023-11-13,3475.0,4048.33,4158.25,3886.51,4106.160000000001,4203.936,4997.795,57.3100000000004,42.24659000079402,83.79510106684067,998.2098597340097
2023-11-10,3443.33,4014.0,4114.23,3851.95,4102.849999999999,4197.974666666667,4955.582333333334,-44.02000000000044,40.251585476374885,83.59655197227131,952.8277131862867
2023-11-09,3395.33,3953.0,4063.19,3794.0,4101.262857142857,4189.696333333333,4916.457111111111,-51.03999999999951,41.75587931263655,84.25679526426603,915.2206939560855
2023-11-08,3334.67,3917.0,4011.57,3744.2,4082.342857142857,4180.042,4874.863444444444,-51.61999999999989,48.60220561358443,87.56805378779136,868.6471835957716
2023-11-07,3310.0,3889.0,3981.81,3726.17,4067.378571428572,4169.287,4837.434444444444,-29.76000000000022,61.50150199505916,91.48633657759227,832.6068863651597
2023-11-06,3306.67,3930.67,4015.96,3737.26,4063.707142857143,4159.841333333333,4805.365444444445,34.15000000000009,64.00869386657936,92.22239090595929,807.3884638093739
2023-11-03,3309.0,3915.67,4008.67,3732.87,4050.5257142857145,4150.687,4776.388555555555,-7.289999999999964,64.56163511405951,93.1703643927526,788.2251113986578
2023-11-02,3319.67,3872.33,3960.17,3730.68,4022.2285714285717,4140.287666666666,4746.672888888889,-48.5,51.581268702722255,96.49725208485981,767.5252874028056
2023-11-01,3279.67,3808.33,3894.43,3696.98,3990.8285714285716,4127.697,4718.679111111111,-65.74000000000024,53.11976356294375,103.11400467297946,751.8195459161961
2023-10-31,3311.67,3835.0,3929.5,3718.69,3971.73,4115.821333333333,4694.025777777778,35.070000000000164,46.37165980816677,104.78326968128857,740.710189151109
2023-10-30,3317.0,3842.67,3939.15,3713.43,3961.3842857142854,4105.734333333333,4668.610555555555,9.650000000000091,44.020788974483004,106.7879399974307,726.6450216435978
2023-10-27,3322.67,3864.33,3953.68,3732.27,3957.365714285714,4096.5070000000005,4642.293888888888,14.529999999999745,43.12014798137917,107.59214143063883,708.7547130599329
2023-10-26,3307.33,3827.0,3917.83,3720.96,3943.347142857143,4087.137,4616.302222222223,-35.84999999999991,36.309371937665325,110.56392914809587,691.5555774602034
2023-10-25,3247.0,3749.0,3848.03,3636.0,3920.3985714285714,4074.8053333333332,4588.544333333333,-69.79999999999973,38.820197676608814,115.96629372780752,671.1752550363477
2023-10-24,3215.0,3745.67,3831.89,3616.35,3902.0728571428567,4064.923333333333,4563.063,-16.140000000000327,46.445711217597484,123.62463587589238,655.5307601888566
2023-10-23,3240.67,3767.33,3868.09,3634.07,3898.31,4054.4819999999995,4540.131222222222,36.20000000000027,48.20188827593451,126.64512910862908,643.0871756251288
2023-10-20,3189.33,3710.33,3795.08,3584.07,3879.1071428571427,4039.9576666666667,4516.609444444445,-73.01000000000022,59.22119685700013,130.6482272651113,630.9446479565703
2023-10-19,3139.67,3656.67,3737.88,3533.98,3850.354285714286,4021.4273333333335,4487.731333333333,-57.19999999999982,72.56695135255904,132.81029833718807,605.6659683081924
2023-10-18,3106.33,3638.67,3708.53,3521.62,3815.3328571428574,4001.866666666667,4457.808222222222,-29.34999999999991,73.53932750923202,134.281126677037,575.8395964517429
2023-10-17,3112.0,3644.67,3723.77,3515.61,3787.61,3984.625333333333,4432.2172222222225,15.239999999999782,64.48047637361051,135.7154126062917,556.1631632469282
2023-10-16,3087.67,3586.67,3678.43,3488.26,3763.381428571429,3968.552666666667,4407.522666666667,-45.340000000000146,69.65022288301665,142.5357286350228,539.3027020118301
2023-10-13,3021.33,3522.67,3596.94,3425.37,3729.817142857143,3951.061,4382.339666666667,-81.48999999999978,85.85871839158192,154.76820969919515,523.2330222875886
2023-10-12,2997.67,3498.33,3582.39,3393.96,3689.002857142857,3933.349333333333,4359.836666666667,-14.550000000000182,76.57790710889809,165.53836084101775,513.4014539379243
